Subject,Start Date,End Date,Location,Tutorial Deadline,Talk Deadline,Sponsorship URL,Website URL
PyCon Belarus,2017-02-04,2017-02-04,"Minsk, Minsk, Belarus",,,http://by.pycon.org/assets/files/Call_for_Partners_pycon2017.pdf,http://by.pycon.org
PyCon Colombia,2017-02-10,2017-02-11,"Bogotá, Capital District, Colombia",,,,http://www.pycon.co
PyCon Pune,2017-02-16,2017-02-19,"Puen, Maharashtra, India",,,,https://pune.pycon.org
PyCon PH,2017-02-25,2017-02-26,"Cagayan de Oro, Misamis Oriental, Philippines",,,,https://pycon.python.ph
PyCon SK,2017-03-10,2017-03-10,"Bratislava, Bratislava, Slovakia",,,,https://2017.pycon.sk
PyCon Italia,2017-04-06,2017-04-09,"Florence, Tuscany, Italy",,,,https://www.pycon.it
PyCon Ukraine,2017-04-08,2017-04-09,"Lviv, Lviv Oblast, Ukraine",,,,https://ua.pycon.org
PyCon LT,2017-05-13,2017-05-13,"Kaunas, Kaunas, Lithuania",,,,http://pycon.lt
PyCon North America,2017-05-17,2017-05-25,"Portland, Oregon, USA",2016-11-30,2017-01-03,https://us.pycon.org/2017/sponsors/prospectus,https://us.pycon.org/2017
PyCon CZ,2017-06-08,2017-06-10,"Prague, Bohemia, Czech Republic",2017-04-17,2017-04-17,https://cz.pycon.org/2017/sponsors/,https://cz.pycon.org/2017
PyCon TW,2017-06-09,2017-06-11,"Taipei, Taipei, Taiwan",,,,https://tw.pycon.org/2017
Python Day Mexico,2017-06-10,2017-06-10,"Mexico City, Federal District, Mexico",,,,https://www.toptal.com/events/2017-06-10/python-day-mexico
PyCon Israel,2017-06-11,2017-06-14,"Ramat Gan, Tel Aviv, Israel",,,,http://il.pycon.org/2017
EuroPython,2017-07-09,2017-07-16,"Rimini, Rimini, Italy",2017-04-16,2017-04-16,https://ep2017.europython.eu/en/sponsor/packages,https://ep2017.europython.eu
PyCon Russia,2017-07-16,2017-07-17,"Moscow, Central Federal District, Moscow",2017-06-12,2017-06-12,http://pycon.ru/2017/en/partners/join/,http://pycon.ru/2017
PyOhio,2017-07-29,2017-07-30,"Columbus, Ohio, USA",2017-05-25,2017-05-25,https://pyohio.org/sponsors/prospectus,https://pyohio.org
PyCon Australia,2017-08-03,2017-08-08,"Melbourne, Victoria, Australia",2017-05-07,2017-05-07,https://2017.pycon-au.org/sponsorship.pdf,https://pycon-au.org
PyBay,2017-08-10,2017-08-13,"San Francisco, California, USA",2017-06-10,2017-06-10,http://pybay.com/sponsors,http://pybay.com
PyCon Korea,2017-08-12,2017-08-15,"Seoul, Seoul Capital Area, South Korea",2017-05-27,2017-05-27,https://www.pycon.kr/2017/en/about/sponsorship,https://www.pycon.kr/2017
DjangoCon US,2017-08-13,2017-08-18,"Spokane, Washington, USA",2017-04-11,2017-04-11,https://2017.djangocon.us/sponsors/information,https://2017.djangocon.us
PyCon PL,2017-08-17,2017-08-20,"Ossa, Rawa County, Poland",,,,https://pl.pycon.org/2017
PyCon Asia Pacific,2017-08-26,2017-08-27,"Kuala Lumpur, Selangor, Malaysia",2017-07-07,2017-07-07,https://pycon.my/2017/02/28/sponsor-pycon-apac-2017,https://pycon.my
EuroSciPy,2017-08-28,2017-09-01,"Erlangen, Bavaria, Germany",2017-06-24,2017-06-24,,https://www.euroscipy.org/2017
PyCon Sweden,2017-09-06,2017-09-06,"Stockholm, Stockholm County, Sweden",,,http://www.pycon.se/sponsorship.html,http://www.pycon.se
PyCon JP,2017-09-07,2017-09-09,"Tokyo, Kantō, Japan",,,,https://pycon.jp/2017
PyCon Nigeria,2017-09-15,2017-09-16,"Lagos, Lagos, Nigeria",,,https://pycon.ng/sponsors/information/,https://pycon.ng
PyCon FR,2017-09-21,2017-09-24,"Toulouse, Occitanie, France",,,,https://www.pycon.fr/2017
PyCon ES,2017-09-22,2017-09-24,"Cáceres, Cáceres, Spain",2017-06-08,2017-06-08,https://2017.es.pycon.org/static/files/es_brochure.pdf,https://2017.es.pycon.org
PyCon ZA,2017-10-05,2017-10-06,"Cape Town, Western Cape, South Africa",,,https://za.pycon.org/sponsors/packages,https://za.pycon.org
PyGotham,2017-10-06,2017-10-08,"New York, New York, USA",2017-07-18,2017-07-18,https://2017.pygotham.org/sponsors/prospectus/,https://2017.pygotham.org
PythonBrasil,2017-10-06,2017-10-11,"Belo Horizonte, Minas Gerais, Brazil",,,,http://2017.pythonbrasil.org.br
Florida PyCon,2017-10-07,2017-10-07,"Orlando, Florida, USA",,,,http://flpy.org
SciPy Latin America,2017-10-13,2017-10-16,"Havana, Havana, Cuba",2017-08-15,2017-08-15,http://conf.scipyla.org/sponsors/prospectus,http://conf.scipyla.org
PyCon Ireland,2017-10-21,2017-10-22,"Dublin, Leinster, Ireland",,,,https://pyconie17.python.ie
PyCon DE,2017-10-25,2017-10-27,"Karlsruhe, Karlsruhe, Germany",,,,http://de.pycon.org
PyCon UK,2017-10-26,2017-10-30,"Cardiff, Wales, United Kingdom",,,,http://2017.pyconuk.org
PyCon Canada,2017-11-18,2017-11-19,"Montréal, Québec, Canada",,,,https://2017.pycon.ca
