Subject,Start Date,End Date,Location,Tutorial Deadline,Talk Deadline,Website URL,Proposal URL,Sponsorship URL
PyCascades,2018-01-22,2018-01-23,"Vancouver, British Columbia, Canada",,,https://www.pycascades.com,https://www.papercall.io/pycascades-2018,https://www.pycascades.com/sponsors
PyCon Pune,2018-02-08,2018-02-11,"Pune, Maharashtra, India",,,https://pune.pycon.org/2018,,https://pune.pycon.org/2018/sponsors
PyCon Colombia,2018-02-09,2018-02-11,"Medellin, Colombia",,,https://www.pycon.co,,
PyTennessee,2018-02-10,2018-02-11,"Nashville, Tennessee, USA",2017-11-08,2017-11-08,http://www.pytennessee.org,https://www.pytennessee.org/speaking/cfp,http://www.pytennessee.org/sponsors/prospectus
PyCaribbean,2018-02-17,2018-02-18,"Santo Domingo, National District, Dominican Republic",2017-11-24,2017-11-24,http://pycaribbean.com,https://www.papercall.io/pycaribbean-2018,
PyCon SK,2018-03-09,2018-03-11,"Bratislava, Slovakia",2018-01-21,2018-01-21,https://2018.pycon.sk,https://2018.pycon.sk/en/cfp.html,https://2018.pycon.sk/en/sponsoring.html
Python Sul Brasil,2018-04-06,2018-04-08,"Florianópolis, Brasil",,,http://pythonsul.org,,http://pythonsul.org/#sponsors
Pycon Italia,2018-04-19,2018-04-22,"Florence, Italy",,,https://www.pycon.it/en/,,https://www.pycon.it/en/sponsor/
Python Sudeste Brasil,2018-04-28,2018-04-29,"São Paulo, Brasil",2018-02-28,2018-02-28,http://pythonsudeste.org,,http://pythonsudeste.org/#sponsors
PyCon North America,2018-05-09,2018-05-17,"Cleveland, Ohio, USA",2017-11-24,2018-01-03,https://us.pycon.org/2018,https://us.pycon.org/2018/speaking,https://us.pycon.org/2018/sponsors/prospectus
DjangoCon Europe,2018-05-23,2018-05-27,"Heidelberg, Germany",2018-03-01,2018-03-01,https://2018.djangocon.eu,,https://2018.djangocon.eu/sponsoring
PyCon CZ,2018-06-01,2018-06-03,"Prague, Czech Republic",2018-02-28,2018-02-28,https://cz.pycon.org/2018,https://cz.pycon.org/2018/proposals,https://cz.pycon.org/2018/sponsors
SciPy,2018-07-09,2018-07-15,"Austin, Texas, USA",2018-02-09,2018-02-09,https://scipy2018.scipy.org,https://scipy2018.scipy.org/ehome/299527/648140/,https://scipy2018.scipy.org/ehome/299527/648129/
PyOhio,2018-07-28,2018-07-29,"Columbus, Ohio, USA",,,https://pyohio.org,,
PyCon Australia,2018-08-24,2018-08-28,"Sydney, NSW, Australia",,,http://2018.pycon-au.org,,
PyGotham,2018-10-05,2018-10-06,"New York, NY, USA",,,https://2018.pygotham.org,,https://2018.pygotham.org/sponsors/prospectus/
DjangoCon US,2018-10-14,2018-10-19,"San Diego, CA, USA",,,https://2018.djangocon.us,,
PythonBrasil,2018-10-17,2018-10-22,"Natal, Rio Grande Do Norte, Brazil",,,http://2018.pythonbrasil.org.br,,http://2018.pythonbrasil.org.br/#sponsors
