Subject,Start Date,End Date,Location,Country,Venue,Tutorial Deadline,Talk Deadline,Website URL,Proposal URL,Sponsorship URL
AfroPython Conf,2019-09-14,2019-09-15,"Rio de Janeiro, Brasil",BRA,,,,https://afropython.org,,
AfroPython Conf,2023-07-22,2023-07-22,"Salvador, Bahia, Brasil",BRA,,,2023-06-19,https://afropython.org/conf2023,https://bit.ly/conf2023-palestrantes,https://afropythonconf.org/#patrocinadores
AfroPython Conf,2025-06-07,2025-06-08,"Salvador, State of Bahia, Brasil",BRA,Casa Rosa Salvador,,,https://afropythonconf.org,,https://afropythonconf.org/#patrocinadores
BelPy,2021-01-30,2021-02-01,Online,,,,,https://belpy.in,,
Berlin Python Pizza,2019-02-23,2019-02-24,"Berlin, Germany",DEU,,,,https://berlin.python.pizza,,
Better Python Unit Tests,2020-06-23,2020-06-24,Online,,,,,https://www.eventbrite.com/e/better-python-unit-tests-tickets-104843375358,,
Black Python Devs Leadership Summit,2026-07-24,2026-07-24,"Cleveland, Ohio, USA",USA,Cleveland State University Student Center,,2026-04-20,https://blackpythondevs.com/bpd-events/black-python-devs-leadership-summit-2026-ohio.html,https://pretalx.com/pyohio-2026/submit/?track=6985-black-python-devs-leadership-summit,
Building Python Communities Around Python for Kids,2024-01-10,2024-01-11,"MountainHub, Top floor 1st Trust Building, Great Soppo, Buea, Cameroon",CMR,,,,https://nokidbehind.org/2023/03/20/building-micro-tech-communities-around-python-programming-language,,
Building Python Communities Yaounde,2024-06-01,2024-06-03,"Yaounde, Cameroon",CMR,,,,https://nokidbehind.org/event/yaounde-python-community,,
Building Python Community in Northern Nigeria,2025-09-27,2025-09-28,"Kano, Nigeria",NGA,,,,https://pythonniger.org/events,,
Caipyra,2019-07-07,2019-07-11,"São Carlos, SP, Brasil",BRA,,,,https://caipyra.python.org.br,,
Cloud Builder: Python Conf,2023-09-06,2023-09-07,Online,,,,,https://www.cloud-builders.tech/en/python-conf,,
Conf42 Python,2021-05-27,2021-05-28,Online,,,,,https://www.conf42.com/python2021,,
"csv,conf",2024-05-29,2024-05-31,"Puebla, México",MEX,,,,https://csvconf.com,,
DELSU Tech Invasion 2.0 - Python for Academics,2024-12-04,2024-12-06,"Abraka, Nigeria",NGA,,,,https://dti.hamplustech.com,,
DePy,2016-05-06,2016-05-07,"Chicago, Illinois, USA",USA,,,,https://web.archive.org/web/20170725125219/https://mdp.cdm.depaul.edu/DePy2016,,
Django Day Copenhagen,2020-09-25,2020-09-26,"Online & Copenhagen, Denmark",DNK,,,,https://djangoday.dk,,
Django Day Copenhagen,2022-04-08,2022-04-09,"Copenhagen, Denmark",DNK,,,,https://2022.djangoday.dk,,
Django Day Copenhagen,2023-10-06,2023-10-06,"Copenhagen, Denmark",DNK,,,2023-08-31,https://2023.djangoday.dk,https://2023.djangoday.dk/cfp,
DjangoCamp Hyderabad,2017-10-06,2017-10-07,"CBIT College, Hyderabad, India",IND,,,,https://cbitosc.github.io/djangocamp,,
DjangoCon Africa,2020-11-09,2020-11-13,"Addis Ababa, Oromia, Ethiopia",ETH,,,,https://2020.djangocon.africa,,
DjangoCon Africa,2023-11-06,2023-11-11,"Zanzibar, Mjini Magharibi, Tanzania",TZA,,,2023-07-12,https://2023.djangocon.africa,https://2023.djangocon.africa/talks,https://2023.djangocon.africa/sponsor-us
DjangoCon Africa,2025-08-11,2025-08-15,"Arusha, Tanzania",TZA,"Life Fitness Hall, Njiro",2025-03-31,2025-03-31,https://2025.djangocon.africa,https://2025.djangocon.africa/speaking,https://2025.djangocon.africa/sponsor_us
DjangoCon AU,2018-08-24,2018-08-24,"Sydney, New South Wales, Australia",AUS,,,2018-05-28,https://2018.pycon-au.org,https://www.papercall.io/pyconau2018,https://2018.pycon-au.org/news/call-for-sponsorship
DjangoCon AU,2019-08-02,2019-08-03,"Sydney, Australia",AUS,,,,https://djangocon.com.au,,
DjangoCon AU,2020-09-04,2020-09-04,"Tarndanya (Adelaide), Australia",AUS,Online,,2020-07-12,https://2020.djangocon.com.au,https://2020.pycon.org.au/speak,
DjangoCon AU,2023-08-18,2023-08-18,"Tarndanya (Adelaide), Australia",AUS,Adelaide Convention Centre,,2023-05-14,https://2023.djangocon.com.au,https://2023.pycon.org.au/program,https://2023.pycon.org.au/sponsor
DjangoCon Europe,2017-04-03,2017-04-08,"Florence, Italy",ITA,,,,https://2017.djangocon.eu,,
DjangoCon Europe,2018-05-23,2018-05-27,"Heidelberg, Baden-Württemberg, Germany",DEU,,2018-03-01,2018-03-01,https://2018.djangocon.eu,,https://2018.djangocon.eu/sponsoring
DjangoCon Europe,2019-04-10,2019-04-15,"Copenhagen, Denmark",DNK,,,,https://2019.djangocon.eu,,
DjangoCon Europe,2020-09-16,2020-09-20,"Porto, Oporto, Portugal",PRT,Online,,2020-03-01,https://2020.djangocon.eu,https://2020.djangocon.eu/talks/cfp,
DjangoCon Europe,2021-06-02,2021-06-06,"Porto, Oporto, Portugal",PRT,Online,2021-04-01,2021-04-01,https://2021.djangocon.eu,https://2021.djangocon.eu/talks/cfp,https://2021.djangocon.eu/sponsors/sponsorships
DjangoCon Europe,2022-09-21,2022-09-26,"Porto, Portugal",PRT,,,,https://2022.djangocon.eu,,
DjangoCon Europe,2023-05-29,2023-06-02,"Edinburgh, Scotland, United Kingdom",GBR,The Assembly Rooms,2023-02-27,2023-02-27,https://2023.djangocon.eu,https://2023.djangocon.eu/call-for-proposals,https://2023.djangocon.eu/sponsors/information
DjangoCon Europe,2024-06-05,2024-06-09,"Vigo, España",ESP,,,2024-02-29,https://2024.djangocon.eu,https://2024.djangocon.eu/call-for-proposals,https://2024.djangocon.eu/sponsors/sponsorship
DjangoCon Europe,2025-04-23,2025-04-27,"Dublin, Ireland",IRL,Talbot Hotel Stillorgan,,,https://2025.djangocon.eu,,https://2025.djangocon.eu/sponsors/sponsorship
DjangoCon Europe,2026-04-15,2026-04-20,"Athens, Greece",GRC,,,,https://2026.djangocon.eu,,
DjangoCon US,2017-08-13,2017-08-18,"Spokane, Washington, USA",USA,,2017-04-11,2017-04-11,https://2017.djangocon.us,https://2017.djangocon.us/speaking,https://2017.djangocon.us/sponsors/information
DjangoCon US,2018-10-14,2018-10-19,"San Diego, California, USA",USA,San Diego Marriott of Mission Valley,,2018-06-03,https://2018.djangocon.us,,
